Id,SalePrice
1461,274132.0380964824
1462,163748.75859967188
1463,217195.94258968992
1464,169446.47707019237
1465,252817.73959825755
1466,344219.21945626964
1467,144952.86350014512
1468,150286.40246528113
1469,201512.54144958672
1470,125225.51026201768
1471,225471.70274286374
1472,129923.88417759942
1473,140063.51334210523
1474,155798.47408638248
1475,142591.7172443928
1476,152148.00469512696
1477,145301.52978830307
1478,144400.51774735344
1479,167997.87918903487
1480,193123.58257988485
1481,101820.60376158285
1482,134117.49707670757
1483,178977.51448766136
1484,171229.5434538228
1485,230629.195624937
1486,262544.1659338357
1487,126220.40006210784
1488,218460.50888974225
1489,101196.36810329442
1490,237919.0182631134
1491,157225.95818321998
1492,206421.5147510907
1493,291394.0618769732
1494,296024.8899482815
1495,157307.34698440818
1496,135046.71045632672
1497,137294.45477222028
1498,155128.0264407183
1499,198512.80825370626
1500,171046.07987592142
1501,248183.9124107598
1502,128588.61790909007
1503,126437.47262211164
1504,171944.42711057415
1505,159676.1237904293
1506,190239.97331560662
1507,164828.27702556466
1508,202263.65874690065
1509,421906.7130904858
1510,83385.63201728732
1511,170902.36209953198
1512,138949.6221258357
1513,160087.53437156472
1514,121219.80213319577
1515,146531.6562102223
1516,335671.8383127922
1517,112382.71413849629
1518,141438.93458492562
1519,184079.5749544599
1520,257782.9652598012
1521,202378.9105869917
1522,256263.22709911832
1523,198118.6556471299
1524,132619.57880615018
1525,151639.04657665262
1526,204085.30867009587
1527,202056.9340464108
1528,203657.9224784813
1529,189044.41502552357
1530,146687.4110634958
1531,74372.38483839575
1532,313239.43110956514
1533,178084.78380284001
1534,456387.94028399803
1535,122011.23747479188
1536,252316.26434344405
1537,123378.66066273824
1538,110625.63172856184
1539,78387.66028397853
1540,165336.71011766768
1541,125143.4410948735
1542,151481.70667623534
1543,115198.24296649173
1544,218304.17163200717
1545,114202.83041606724
1546,85285.02241162384
1547,169099.95012405328
1548,100559.23457654635
1549,162589.24270936527
1550,257571.7012288563
1551,131890.42405777573
1552,297408.11149725976
1553,78512.22195509668
1554,155665.9157983215
1555,96438.27814819528
1556,323601.9009369548
1557,102640.08156403009
1558,122049.79921107675
1559,157857.84761519494
1560,222035.65414185444
1561,381140.300551991
1562,80839.99584591217
1563,247668.53694593033
1564,185719.05757927618
1565,232073.4808641365
1566,265150.3157526435
1567,140773.04005324564
1568,214715.4259332224
1569,239775.07614364394
1570,139511.4416460296
1571,122574.44262567033
1572,132942.34650759978
1573,302345.5814792886
1574,137132.90579281797
1575,142333.90731911894
1576,169897.39698275217
1577,137057.53965978738
1578,147487.6097147265
1579,123930.8580449142
1580,101936.28311849035
1581,195718.6596688828
1582,323578.6188115926
1583,313793.73738753406
1584,126399.31846100278
1585,222913.9092084855
1586,110407.09007632303
1587,278258.6120446763
1588,115761.90256051092
1589,146260.7895948903
1590,205282.17224911507
1591,174149.51059515867
1592,114722.93765292289
1593,103315.78467082845
1594,283841.97064433724
1595,63477.65146345726
1596,175175.61612990507
1597,167540.0796522906
1598,218214.24889226767
1599,193331.8095522802
